Total steps: 3803807 	 Episode: 1880/1729 	 Total reward: 21.0
Total steps: 3842590 	 Episode: 1900/1750 	 Total reward: 20.0
Total steps: 3880998 	 Episode: 1920/1774 	 Total reward: 19.0
Total steps: 3917157 	 Episode: 1940/1892 	 Total reward: 20.0
Total steps: 3954472 	 Episode: 1960/1647 	 Total reward: 21.0
Total steps: 3991121 	 Episode: 1980/1765 	 Total reward: 20.0
Total steps: 4028837 	 Episode: 2000/2294 	 Total reward: 16.0
Total steps: 4065460 	 Episode: 2020/1868 	 Total reward: 18.0
Total steps: 4100752 	 Episode: 2040/1720 	 Total reward: 19.0
Total steps: 4136614 	 Episode: 2060/1867 	 Total reward: 21.0
Total steps: 4174931 	 Episode: 2080/2219 	 Total reward: 16.0
Total steps: 4210678 	 Episode: 2100/1670 	 Total reward: 20.0
Total steps: 4247883 	 Episode: 2120/1852 	 Total reward: 19.0
Total steps: 4284646 	 Episode: 2140/1732 	 Total reward: 21.0
Total steps: 4320422 	 Episode: 2160/1815 	 Total reward: 20.0
Total steps: 4357041 	 Episode: 2180/1830 	 Total reward: 20.0
Total steps: 4394970 	 Episode: 2200/1663 	 Total reward: 21.0
Total steps: 4431173 	 Episode: 2220/1807 	 Total reward: 19.0
Total steps: 4469596 	 Episode: 2240/1951 	 Total reward: 19.0
Total steps: 4507274 	 Episode: 2260/2124 	 Total reward: 18.0
Total steps: 4543040 	 Episode: 2280/1626 	 Total reward: 21.0
Total steps: 4578705 	 Episode: 2300/1648 	 Total reward: 21.0
Total steps: 4613285 	 Episode: 2320/1663 	 Total reward: 20.0
Total steps: 4647938 	 Episode: 2340/1656 	 Total reward: 20.0
Total steps: 4683596 	 Episode: 2360/1801 	 Total reward: 20.0
Total steps: 4718804 	 Episode: 2380/1701 	 Total reward: 20.0
Total steps: 4753844 	 Episode: 2400/1642 	 Total reward: 21.0
Total steps: 4789161 	 Episode: 2420/1681 	 Total reward: 21.0
Total steps: 4824930 	 Episode: 2440/1704 	 Total reward: 20.0
Total steps: 4859631 	 Episode: 2460/1746 	 Total reward: 21.0
Total steps: 4895598 	 Episode: 2480/2209 	 Total reward: 16.0
Total steps: 4931538 	 Episode: 2500/1869 	 Total reward: 18.0
Total steps: 4968812 	 Episode: 2520/1916 	 Total reward: 21.0
Total steps: 5003844 	 Episode: 2540/1743 	 Total reward: 21.0
Total steps: 5038565 	 Episode: 2560/2069 	 Total reward: 17.0
Total steps: 5074187 	 Episode: 2580/1634 	 Total reward: 21.0
Total steps: 5109506 	 Episode: 2600/1810 	 Total reward: 20.0
Total steps: 5145538 	 Episode: 2620/1683 	 Total reward: 21.0
Total steps: 5181688 	 Episode: 2640/1745 	 Total reward: 21.0
Total steps: 5216887 	 Episode: 2660/1860 	 Total reward: 21.0
Total steps: 5252833 	 Episode: 2680/1624 	 Total reward: 21.0
Total steps: 5289615 	 Episode: 2700/2403 	 Total reward: 15.0
Total steps: 5326297 	 Episode: 2720/1706 	 Total reward: 21.0
Total steps: 5360659 	 Episode: 2740/1702 	 Total reward: 21.0
Total steps: 5396082 	 Episode: 2760/1591 	 Total reward: 21.0
Total steps: 5431758 	 Episode: 2780/1764 	 Total reward: 19.0
Total steps: 5466957 	 Episode: 2800/1660 	 Total reward: 21.0
Total steps: 5502112 	 Episode: 2820/2077 	 Total reward: 16.0
Total steps: 5538586 	 Episode: 2840/2400 	 Total reward: 20.0
Total steps: 5572961 	 Episode: 2860/1880 	 Total reward: 18.0
Total steps: 5608025 	 Episode: 2880/1615 	 Total reward: 20.0
Total steps: 5642045 	 Episode: 2900/1634 	 Total reward: 20.0
Total steps: 5676071 	 Episode: 2920/1713 	 Total reward: 20.0
Total steps: 5710586 	 Episode: 2940/1604 	 Total reward: 21.0
Total steps: 5746397 	 Episode: 2960/1694 	 Total reward: 21.0
Total steps: 5781609 	 Episode: 2980/1635 	 Total reward: 21.0
Total steps: 5815581 	 Episode: 3000/1684 	 Total reward: 21.0
Total steps: 5849539 	 Episode: 3020/1677 	 Total reward: 21.0
Total steps: 5884349 	 Episode: 3040/1687 	 Total reward: 21.0
Total steps: 5919685 	 Episode: 3060/1875 	 Total reward: 20.0
Total steps: 5955894 	 Episode: 3080/1655 	 Total reward: 20.0
Total steps: 5990955 	 Episode: 3100/1839 	 Total reward: 18.0
Total steps: 6026316 	 Episode: 3120/1608 	 Total reward: 21.0
